NOME_PRODUTO,COD_PRODUTO
SMARTPHONE SAMSUNG GAL A50 A505 128GB AZUL   ,279
"TELEVISOR SMART 55"" 55P65US 4K SEMP TCL      ",280
SMARTOGO CB108 PACK ECO.CARREGADOR DE PAREDE ,281
RADIO AUTOMOTIVO P3321 BLUETOOTH MULTILASER  ,282
TABLET NB230 MINI MS60 QUAD.CORE PTO         ,283
"TELEVISOR SMART 55"" 4K QN55Q60RAGXZD         ",284
PULSO PLAST PULSEIRA PLAST DIGITAL FZU/8L MOR,285
PULSO PLAST PULSEIRA PLAST DIGIT MO3900A/8C  ,286
PULSO ACO PULSEIRA ACO QZ 2115LAK/1P TECHNOS ,287
"TELEVISOR SMART 32"" L2800 SEMP TCL           ",288
"TELEVISOR SMART 49"" TC49FS630B PANASONIC     ",289
CELULAR DL YC 230 FLIP DB AMARELO            ,290
PULSO DR PULSEIRA DR QZ 2315ACD/4N TECHNOS   ,291
CONJ.SC-MAX9000 L PANASONIC                  ,292
"TELEVISOR SMART 65"" UHD BT UN65RU7100 SAMSUNG",293
SMARTPHONE SAMSUNG GAL A50  A505 64GB AZUL   ,294
MINI SYSTEM PH600BT PHILCO                   ,295
PULSO ACO PULSEIRA ACO QZ 2115KSW/1A TECHNOS ,296
SMARTPHONE SAMSUNG GAL J6 64GB PRATA         ,297
"TELEVISOR SMART 43"" TC43SV700 PANASONIC      ",298
RADIO AUTOMOTIVO P3326 NEW MAX C/BLUT        ,299
PULSO DR PULSEIRA DR QZ 2035MEK/4X TECHNOS   ,300
RADIO CJ98 ABRALLK LG                        ,301
SMARTPHONE SAMSUNG GAL A71 128GB AZUL        ,302
"TELEVISOR SMART 55"" 4K QN55Q6FNA SAMSUNG     ",303
CASE E SUP.BO197 C  ALCA P TABLET PT ATE 7 po,304
"TELEVISOR SMART 65"" 4K UN65NU7100 SAMSUNG    ",305
PULSO ACO PULSEIRA ACO QZ TECHNOS 2117LAH/1B ,306
TABLET NB232 MINI MS 55 PRETO                ,307
"TELEVISOR SMART 75"" UHD BT UN75RU7100 SAMSUNG",308
SMARTPHONE SAMSUNG GAL J7 PRO J730 DB DR     ,309
CELULAR DL YC230 FLIP DB PRETO/LARANJA       ,310
PULSO DR PULSEIRA DR QZ 2035MFN/4A TECHNOS   ,311
PULSO PLAST PULSEIRA PLAST DIGIT MO1001AN/8D ,312
